127.0.0.1, 2013-11-06 11:13:59, GET, /Performatrix/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000315
127.0.0.1, 2013-11-06 11:13:59, GET, /Performatrix/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000288
127.0.0.1, 2013-11-06 11:13:59, GET, /Performatrix/static/js/share.js, HTTP/1.1, 200, 0.000274
127.0.0.1, 2013-11-06 11:13:59, GET, /Performatrix/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000289
127.0.0.1, 2013-11-06 11:14:00, GET, /Performatrix/static/images/facebook.png, HTTP/1.1, 200, 0.000328
127.0.0.1, 2013-11-06 11:14:00, GET, /Performatrix/static/images/gplus-32.png, HTTP/1.1, 200, 0.001079
127.0.0.1, 2013-11-06 11:14:00, GET, /Performatrix/static/images/twitter.png, HTTP/1.1, 200, 0.001775
127.0.0.1, 2013-11-06 11:14:00, GET, /Performatrix/static/images/favicon.ico, HTTP/1.1, 200, 0.000403
127.0.0.1, 2013-11-06 11:14:22, GET, /Performatrix/default/index, HTTP/1.1, 200, 0.021201
127.0.0.1, 2013-11-06 11:14:22, GET, /Performatrix/static/js/share.js, HTTP/1.1, 304, 0.000345
127.0.0.1, 2013-11-06 11:14:26, GET, /admin/default/site, HTTP/1.1, 200, 0.050983
127.0.0.1, 2013-11-06 11:14:37, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.655726
127.0.0.1, 2013-11-06 11:14:44, GET, /admin/default/peek/examples/models/feeds_reader.py, HTTP/1.1, 200, 0.050592
127.0.0.1, 2013-11-06 11:14:51, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.337842
127.0.0.1, 2013-11-06 11:15:20, GET, /admin/default/peek/examples/views/ajax_examples/fade.html, HTTP/1.1, 200, 0.035528
127.0.0.1, 2013-11-06 11:15:30, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.331132
127.0.0.1, 2013-11-06 11:15:31, GET, /admin/default/edit/examples/views/appadmin.html, HTTP/1.1, 200, 0.082019
127.0.0.1, 2013-11-06 11:15:31, GET, /admin/static/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000328
127.0.0.1, 2013-11-06 11:15:31, GET, /admin/static/_2.7.3/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.068863
127.0.0.1, 2013-11-06 11:15:31, GET, /admin/static/_2.7.3/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.071437
127.0.0.1, 2013-11-06 11:15:31, GET, /admin/static/_2.7.3/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.069014
127.0.0.1, 2013-11-06 11:15:31, GET, /admin/static/_2.7.3/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.075128
127.0.0.1, 2013-11-06 11:15:31, GET, /admin/static/_2.7.3/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.074487
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000498
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/_2.7.3/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000367
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/_2.7.3/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.105914
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/_2.7.3/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.105470
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/_2.7.3/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000775
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/_2.7.3/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.043437
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/_2.7.3/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.044016
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/_2.7.3/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000309
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/_2.7.3/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000682
